Unnamed: 0	TestType	Skew	Num	50p	90p	99p	Throughput	AbortRate	AbortRatio	Throughput-o	CommitRate
0	2pl	50	713609.0	1626.25	4645.75	18065.87	20.8	0.35958	0.10405	20804	64.0
1	2pl	60	468152.0	1417.64	9800.03	24812.77	12.82	0.63302	0.18013	12823	36.7
2	2pl	70	265372.0	1795.51	15365.5	29001.62	6.64	0.80394	0.29772	6643	19.6
3	2pl	80	152755.0	3160.7	21039.62	31564.85	3.68	0.88974	0.46317	3681	11.0
4	2pl	90	98158.0	12334.51	24547.51	32905.44	2.5	0.92904	0.67601	2501	7.1
5	2pl	99	77682.0	17453.07	26711.84	33334.12	2.2	0.94526	0.85155	2202	5.5
6	calvin	50	1918260.0	230.35	454.48	600.98	64.0	0.0	0.0	64002	100.0
7	calvin	60	1918661.0	235.7	460.73	604.8	64.0	0.0	0.0	64000	100.0
8	calvin	70	1916801.0	235.61	461.6	602.81	64.01	0.0	0.0	64009	100.0
9	calvin	80	1920000.0	235.18	461.13	617.46	64.0	0.0	0.0	64001	100.0
10	calvin	90	1916833.0	235.01	462.64	573.65	64.0	0.0	0.0	64000	100.0
11	calvin	99	1918203.0	234.19	461.19	573.4	64.02	0.0	0.0	64019	100.0
0	detock	50	992754.0	563.92	1046.39	4517.88	34.48	0.0	0.0	34485	100.0
1	detock	60	803302.0	565.38	1323.6	7166.31	29.36	0.0	0.0	29365	100.0
2	detock	70	831106.0	572.0	1110.16	7080.35	27.87	0.0	0.0	27873	100.0
3	detock	80	506357.0	647.12	3612.9	13829.96	24.61	0.0	0.0	24613	100.0
4	detock	90	208664.0	2635.68	7883.0	9553.68	11.81	0.0	0.0	11811	100.0
5	detock	99	110867.0	7301.12	8267.56	8798.26	8.77	0.0	0.0	8773	100.0
12	janus	50	1886437.0	218.65	744.27	1244.73	63.94	0.0	0.0	63938	100.0
13	janus	60	1883511.0	219.79	744.7	1302.82	63.95	0.0	0.0	63949	100.0
14	janus	70	1879592.0	234.48	768.14	1385.02	63.76	0.0	0.0	63764	100.0
15	janus	80	1773848.0	642.1	1225.82	1957.83	59.13	0.0	0.0	59128	100.0
16	janus	90	1631658.0	860.17	1488.53	2241.31	53.58	0.0	0.0	53579	100.0
17	janus	99	1541826.0	938.92	1659.4	2586.62	50.9	0.0	0.0	50905	100.0
18	janus-pure	50	1886437.0	217.78	497.36	1065.86	63.94	0.0	0.0	63938	100.0
19	janus-pure	60	1883511.0	218.5	499.04	1088.08	63.95	0.0	0.0	63949	100.0
20	janus-pure	70	1879592.0	226.46	535.69	1147.01	63.76	0.0	0.0	63764	100.0
21	janus-pure	80	1773848.0	513.48	914.73	1279.78	59.13	0.0	0.0	59128	100.0
22	janus-pure	90	1631658.0	683.96	1185.08	1555.73	53.58	0.0	0.0	53579	100.0
23	janus-pure	99	1541826.0	738.63	1242.09	1719.04	50.9	0.0	0.0	50905	100.0
6	ncc	50	1008345.0	991.94	5717.47	12813.91	31.78	0.1	0.05	31784	90.0
7	ncc	60	852081.5	1385.77	8513.22	17278.43	27.15	0.12	0.06	27151	88.0
8	ncc	70	499088.0	1050.4	10115.81	19944.52	14.25	0.15	0.08	14250	85.0
9	ncc	80	311640.0	1433.74	12700.73	22919.69	8.83	0.2	0.11	8832	80.0
10	ncc	90	151097.0	1487.22	14023.27	24073.21	3.82	0.26	0.15	3817	74.0
11	ncc	99	63684.0	1436.32	14544.02	24445.66	1.5	0.47	0.21	1500	53.0
0	ncc-ft	50	435074.0	5272.04	15651.42	22195.73	17.0	0.03	0.02	16995	97.0
1	ncc-ft	60	643472.0	4464.86	15062.09	22137.67	20.53	0.07	0.04	20529	93.0
2	ncc-ft	70	466952.0	4119.45	15324.09	22845.65	14.22	0.09	0.05	14225	91.0
3	ncc-ft	80	260192.0	4563.07	17315.54	23875.0	7.9	0.1	0.05	7905	90.0
4	ncc-ft	90	124490.0	4686.5	18228.7	23669.75	3.76	0.09	0.05	3755	91.0
5	ncc-ft	99	49654.0	4631.83	18070.42	24179.89	1.38	0.07	0.03	1384	93.0
24	occ	50	676485.0	1740.95	4607.92	15499.03	19.56	0.45389	0.23523	19560	54.6
25	occ	60	455383.0	1643.26	6278.35	26586.28	12.43	0.59231	0.28296	12432	40.8
26	occ	70	271172.0	1691.28	12349.67	31019.04	6.7	0.72486	0.36049	6701	27.5
27	occ	80	153510.0	1985.04	23400.01	31715.35	3.75	0.82428	0.47629	3751	17.6
28	occ	90	84928.0	4244.34	28537.56	34241.9	2.08	0.89254	0.63427	2075	10.7
29	occ	99	50635.0	12658.12	30299.34	32281.73	1.38	0.92373	0.77455	1378	7.6
30	tapir	50	1312399.0	855.74	2315.28	11358.85	41.3	0.70471	0.25403	41304	29.5
31	tapir	60	832738.0	1397.2	4541.46	16561.55	25.31	0.82084	0.37235	25308	17.9
32	tapir	70	586101.0	1934.43	7826.75	23046.01	17.6	0.87969	0.50834	17598	12.0
33	tapir	80	422790.0	3323.09	11181.32	22201.94	12.57	0.91713	0.66814	12567	8.3
34	tapir	90	319769.0	4764.4	12497.53	24324.58	9.38	0.93838	0.82177	9379	6.2
35	tapir	99	266500.0	5360.76	13177.77	25157.15	7.81	0.94778	0.92169	7811	5.2
36	tiga	50	1920000.0	176.72	298.75	583.32	64.12	0.0	0.0	64122	100.0
37	tiga	60	1920000.0	176.71	298.98	583.82	64.15	0.0	0.0	64148	100.0
38	tiga	70	1920000.0	176.27	302.36	579.97	64.04	0.0	0.0	64044	100.0
39	tiga	80	1920000.0	176.44	298.72	580.31	64.15	0.0	0.0	64152	100.0
40	tiga	90	1920000.0	176.85	298.85	590.71	64.14	0.0	0.0	64139	100.0
41	tiga	99	1920000.0	176.74	298.54	593.79	64.17	0.0	0.0	64174	100.0
